x_values energy_values
4.000000000000000222e-01 1.000090820475740827e+00
4.036036036036036445e-01 1.000099304579066484e+00
4.072072072072072113e-01 1.000108409950288157e+00
4.108108108108108336e-01 1.000118168433674626e+00
4.144144144144144559e-01 1.000128612666909333e+00
4.180180180180180227e-01 1.000139776064179031e+00
4.216216216216216450e-01 1.000151692798227465e+00
4.252252252252252673e-01 1.000164397781420744e+00
4.288288288288288341e-01 1.000177926645922755e+00
4.324324324324324564e-01 1.000192315723030800e+00
4.360360360360360787e-01 1.000207602021749853e+00
4.396396396396396455e-01 1.000223823206671581e+00
4.432432432432432678e-01 1.000241017575228097e+00
4.468468468468468902e-01 1.000259224034394379e+00
4.504504504504504570e-01 1.000278482076899067e+00
4.540540540540540793e-01 1.000298831757010953e+00
4.576576576576577016e-01 1.000320313665977290e+00
4.612612612612612684e-01 1.000342968907159902e+00
4.648648648648648907e-01 1.000366839070939928e+00
4.684684684684684575e-01 1.000391966209461803e+00
4.720720720720720798e-01 1.000418392811248225e+00
4.756756756756757021e-01 1.000446161775765841e+00
4.792792792792792689e-01 1.000475316387987368e+00
4.828828828828828912e-01 1.000505900292994577e+00
4.864864864864865135e-01 1.000537957470684525e+00
4.900900900900900803e-01 1.000571532210613679e+00
4.936936936936937026e-01 1.000606669087034328e+00
4.972972972972973249e-01 1.000643412934154597e+00
5.009009009009008917e-01 1.000681808821676011e+00
5.045045045045045695e-01 1.000721902030632826e+00
5.081081081081081363e-01 1.000763738029577077e+00
5.117117117117117031e-01 1.000807362451133775e+00
5.153153153153153809e-01 1.000852821068968002e+00
5.189189189189189477e-01 1.000900159775182541e+00
5.225225225225225145e-01 1.000949424558174927e+00
5.261261261261260813e-01 1.001000661480979215e+00
5.297297297297297591e-01 1.001053916660112009e+00
5.333333333333333259e-01 1.001109236244944967e+00
5.369369369369370038e-01 1.001166666397620642e+00
5.405405405405405705e-01 1.001226253273518108e+00
5.441441441441441373e-01 1.001288043002304784e+00
5.477477477477477041e-01 1.001352081669560690e+00
5.513513513513513820e-01 1.001418415298999331e+00
5.549549549549549488e-01 1.001487089835291222e+00
5.585585585585586266e-01 1.001558151127501572e+00
5.621621621621621934e-01 1.001631644913135499e+00
5.657657657657657602e-01 1.001707616802804734e+00
5.693693693693693270e-01 1.001786112265515394e+00
5.729729729729730048e-01 1.001867176614579469e+00
5.765765765765765716e-01 1.001950854994148932e+00
5.801801801801802494e-01 1.002037192366364016e+00
5.837837837837838162e-01 1.002126233499130992e+00
5.873873873873873830e-01 1.002218022954507015e+00
5.909909909909909498e-01 1.002312605077696928e+00
5.945945945945946276e-01 1.002410023986663345e+00
5.981981981981981944e-01 1.002510323562323391e+00
6.018018018018018722e-01 1.002613547439348940e+00
6.054054054054054390e-01 1.002719738997547294e+00
6.090090090090090058e-01 1.002828941353819392e+00
6.126126126126125726e-01 1.002941197354687786e+00
6.162162162162162504e-01 1.003056549569377065e+00
6.198198198198198172e-01 1.003175040283451835e+00
6.234234234234234950e-01 1.003296711492985382e+00
6.270270270270270618e-01 1.003421604899261022e+00
6.306306306306306286e-01 1.003549761903985482e+00
6.342342342342341954e-01 1.003681223605008777e+00
6.378378378378378732e-01 1.003816030792538561e+00
6.414414414414414400e-01 1.003954223945837665e+00
6.450450450450451179e-01 1.004095843230380591e+00
6.486486486486486847e-01 1.004240928495483187e+00
6.522522522522522515e-01 1.004389519272359310e+00
6.558558558558558182e-01 1.004541654772623582e+00
6.594594594594594961e-01 1.004697373887206480e+00
6.630630630630630629e-01 1.004856715185676652e+00
6.666666666666667407e-01 1.005019716915959593e+00
6.702702702702703075e-01 1.005186417004436006e+00
6.738738738738738743e-01 1.005356853056413646e+00
6.774774774774774411e-01 1.005531062356948224e+00
6.810810810810811189e-01 1.005709081872019128e+00
6.846846846846846857e-01 1.005890948250027783e+00
6.882882882882883635e-01 1.006076697823622190e+00
6.918918918918919303e-01 1.006266366611828333e+00
6.954954954954954971e-01 1.006459990322475351e+00
6.990990990990990639e-01 1.006657604354910918e+00
7.027027027027027417e-01 1.006859243802986192e+00
7.063063063063063085e-01 1.007064943458302553e+00
7.099099099099099863e-01 1.007274737813709908e+00
7.135135135135135531e-01 1.007488661067049041e+00
7.171171171171171199e-01 1.007706747125118429e+00
7.207207207207206867e-01 1.007929029607860683e+00
7.243243243243243645e-01 1.008155541852764348e+00
7.279279279279279313e-01 1.008386316919454240e+00
7.315315315315316091e-01 1.008621387594483165e+00
7.351351351351351759e-01 1.008860786396292619e+00
7.387387387387387427e-01 1.009104545580352674e+00
7.423423423423423095e-01 1.009352697144458633e+00
7.459459459459459874e-01 1.009605272834182887e+00
7.495495495495495542e-01 1.009862304148472445e+00
7.531531531531532320e-01 1.010123822345379008e+00
7.567567567567567988e-01 1.010389858447924727e+00
7.603603603603603656e-01 1.010660443250080753e+00
7.639639639639639324e-01 1.010935607322863916e+00
7.675675675675676102e-01 1.011215381020539983e+00
7.711711711711711770e-01 1.011499794486925730e+00
7.747747747747748548e-01 1.011788877661779162e+00
7.783783783783784216e-01 1.012082660287283664e+00
7.819819819819819884e-01 1.012381171914607636e+00
7.855855855855855552e-01 1.012684441910536304e+00
7.891891891891892330e-01 1.012992499464178131e+00
7.927927927927927998e-01 1.013305373593726300e+00
7.963963963963964776e-01 1.013623093153283028e+00
8.000000000000000444e-01 1.013945686839733851e+00
8.036036036036036112e-01 1.014273183199670747e+00
8.072072072072071780e-01 1.014605610636355904e+00
8.108108108108108558e-01 1.014942997416728998e+00
8.144144144144144226e-01 1.015285371678440240e+00
8.180180180180181004e-01 1.015632761436920273e+00
8.216216216216216672e-01 1.015985194592477603e+00
8.252252252252252340e-01 1.016342698937411360e+00
8.288288288288288008e-01 1.016705302163148694e+00
8.324324324324324786e-01 1.017073031867398836e+00
8.360360360360360454e-01 1.017445915561317582e+00
8.396396396396397233e-01 1.017823980676680007e+00
8.432432432432432901e-01 1.018207254573067155e+00
8.468468468468468568e-01 1.018595764545050519e+00
8.504504504504504236e-01 1.018989537829382064e+00
8.540540540540541015e-01 1.019388601612182477e+00
8.576576576576576683e-01 1.019792983036129419e+00
8.612612612612613461e-01 1.020202709207644443e+00
8.648648648648649129e-01 1.020617807204061256e+00
8.684684684684684797e-01 1.021038304080802872e+00
8.720720720720720465e-01 1.021464226878540993e+00
8.756756756756757243e-01 1.021895602630345179e+00
8.792792792792792911e-01 1.022332458368818031e+00
8.828828828828829689e-01 1.022774821133224821e+00
8.864864864864865357e-01 1.023222717976604246e+00
8.900900900900901025e-01 1.023676175972861868e+00
8.936936936936936693e-01 1.024135222223851338e+00
8.972972972972973471e-01 1.024599883866440742e+00
9.009009009009009139e-01 1.025070188079556077e+00
9.045045045045044807e-01 1.025546162091211189e+00
9.081081081081081585e-01 1.026027833185520377e+00
9.117117117117117253e-01 1.026515228709689920e+00
9.153153153153152921e-01 1.027008376080990493e+00
9.189189189189189699e-01 1.027507302793716493e+00
9.225225225225225367e-01 1.028012036426119158e+00
9.261261261261261035e-01 1.028522604647324812e+00
9.297297297297297813e-01 1.029039035224236676e+00
9.333333333333333481e-01 1.029561356028411589e+00
